R1 H4 BHB2/M  : 1  ,pm :24  ,Mean   :0.01507  ,Mean   :0.05834  ,Mean   :0.03848  ,Mean   :0.02252  ,Mean   :0.03891  ,Mean   :0.005698  ,Mean   :0.02739  ,
R1 H4 BHB5/M  : 1  ,NA,3rd Qu.:0.02000  ,3rd Qu.:0.08050  ,3rd Qu.:0.05225  ,3rd Qu.:0.02825  ,3rd Qu.:0.05125  ,3rd Qu.:0.007525  ,3rd Qu.:0.03725  ,
R1 H4 PM2/M   : 1  ,NA,Max.   :0.03100  ,Max.   :0.10000  ,Max.   :0.07200  ,Max.   :0.06300  ,Max.   :0.08600  ,Max.   :0.010000  ,Max.   :0.05100  ,
,,,,,,,,,
        Sample.Name,Group,      Ho,      Er,      Tm,      Yb,      Lu,      Ta,      Th,
R1 H2 PMC     : 1  ,bhb:13  ,Min.   :0.00100  ,Min.   :0.00300  ,Min.   :0.000900  ,Min.   :0.00540  ,Min.   :0.001000  ,Min.   :0.000000  ,Min.   :0.00000  ,
R1 H3 BHBC/M/1: 1  ,mb :10  ,1st Qu.:0.00645  ,1st Qu.:0.01500  ,1st Qu.:0.004025  ,1st Qu.:0.02100  ,1st Qu.:0.005550  ,1st Qu.:0.001850  ,1st Qu.:0.01045  ,
R1 H3 PMC/M/1 : 1  ,nth: 9  ,Median :0.00790  ,Median :0.02050  ,Median :0.006350  ,Median :0.02950  ,Median :0.007550  ,Median :0.005700  ,Median :0.01750  ,
R1 H4 BHB2/M  : 1  ,pm :24  ,Mean   :0.00738  ,Mean   :0.01954  ,Mean   :0.005989  ,Mean   :0.03012  ,Mean   :0.007039  ,Mean   :0.006700  ,Mean   :0.02094  ,
R1 H4 BHB5/M  : 1  ,NA,3rd Qu.:0.00945  ,3rd Qu.:0.02625  ,3rd Qu.:0.008025  ,3rd Qu.:0.03925  ,3rd Qu.:0.008775  ,3rd Qu.:0.008975  ,3rd Qu.:0.03100  ,
R1 H4 PM2/M   : 1  ,NA,Max.   :0.01400  ,Max.   :0.03900  ,Max.   :0.011000  ,Max.   :0.06000  ,Max.   :0.016000  ,Max.   :0.054000  ,Max.   :0.07000  ,
