Sample Name,Group,        Mg,        Al,         K,        Ca,        Sc,        Ti,        Mn,        Fe,        Ni,        Cu,        Zn,        Ga,        Ge,        Se,        Br,        Rb,        Sr,         Y,        Mo,        Pd,         I,        Ba,        La,        Ce,        Pr,        Nd,        Sm,        Eu,        Gd,        Tb,        Dy,        Ho,        Er,        Tm,        Yb,        Lu,        Ta,        Th
R4 H5 PM3/1,pm,22000,25,21000,20000,0.68,9.9,770,360,1.8,49,250,1.4,0.5,14,27,88,200,0.057,4,0.11,7.2,61,0.092,0.1,0.017,0.083,0.041,0.015,0.044,0.004,0.033,0.0076,0.024,0.0065,0.037,0.01,0.0092,0.018
R4 H5 PM3/2,pm,25000,31,22000,22000,0.86,10,840,370,1.5,52,240,1.6,0.41,3.8,23,90,230,0.09,3.8,0.12,10,65,0.1,0.13,0.017,0.071,0.052,0.026,0.047,0.0087,0.045,0.0084,0.03,0.0088,0.033,0.0085,0.003,0.0061
R4 H5 PM3/3,pm,26000,29,21000,26000,0.75,9.9,800,400,2.6,53,230,1.5,0.43,8.4,61,86,250,0.09,3.5,0.17,10,65,0.12,0.15,0.02,0.1,0.072,0.018,0.036,0.0094,0.036,0.01,0.021,0.008,0.034,0.0087,0.012,0.031
R4 H5 PM5/1,pm,27000,23,17000,19000,0.69,13,1200,540,2.3,56,310,1.6,0.5,5.5,29,76,210,0.037,5.5,0.082,5.5,64,0.082,0.24,0.02,0.068,0.035,0.019,0.045,0.0074,0.027,0.0083,0.015,0.006,0.052,0.0074,0.0059,0.035
R4 H5 PM5/2,pm,28000,43,18000,28000,0.78,8.4,980,470,2.4,46,320,1.1,0.64,9,21,67,240,0.085,5.7,0.028,11,60,0.12,0.15,0.022,0.091,0.053,0.02,0.048,0.0074,0.031,0.0078,0.022,0.0034,0.039,0.011,0.0061,0.012
R4 H5 PM5/3,pm,28000,34,18000,27000,0.78,8.7,930,520,1.8,53,340,1.2,0.44,5.6,22,72,240,0.1,4.1,0.045,10,55,0.12,0.17,0.025,0.1,0.031,0.018,0.048,0.0082,0.03,0.01,0.035,0.0051,0.037,0.0091,0.0032,0.013
R5 H5 BHB1/1,bhb,44000,48,21000,76000,0.79,5.9,390,620,3.5,50,1900,13,0.53,6.2,43,25,890,0.067,0.49,0.32,12,560,0.1,0.11,0.014,0.07,0.045,0.063,0.055,0.0075,0.031,0.0076,0.023,0.0067,0.029,0.0085,0.0066,0.0066
R5 H5 BHB2/1,bhb,36000,63,15000,63000,0.68,2.1,240,430,2.7,36,1100,11,0.51,8.4,29,17,770,0.05,0.54,0.17,10,490,0.093,0.1,0.0093,0.045,0.045,0.042,0.064,0.006,0.019,0.0084,0.021,0.0072,0.024,0.0068,0.0095,0.012
R5 H5 BHB3/1,bhb,53000,83,22000,77000,0.85,5.4,330,560,3.4,48,1600,13,0.34,5.8,29,24,890,0.086,0.3,0.31,12,560,0.14,0.14,0.018,0.059,0.058,0.056,0.035,0.0077,0.051,0.0078,0.038,0.0063,0.023,0.0084,0.01,0.02
R5 H5 BHB3/2,bhb,56000,75,19000,81000,0.68,3.9,310,540,2.2,35,1600,14,0.38,6.3,34,20,910,0.056,0.6,0.15,15,540,0.22,0.25,0.031,0.099,0.053,0.049,0.055,0.0041,0.031,0.008,0.028,0.01,0.027,0.008,0.0031,0
R5 H5 BHB4/1,bhb,30000,46,14000,44000,0.71,7.2,360,470,2.7,49,1000,8.3,0.42,6.6,29,21,510,0.024,0.53,0.18,12,330,0.079,0.095,0.014,0.063,0.056,0.032,0.043,0.0049,0.019,0.0075,0.021,0.0058,0.029,0.0085,0.012,0.012
R5 H5 BHB5/1,bhb,44000,56,20000,76000,0.83,4.8,490,640,2.8,43,1700,13,0.89,5.5,63,23,880,0.05,0.68,0.24,10,580,0.1,0.11,0.016,0.085,0.042,0.055,0.04,0.0061,0.026,0.01,0.023,0.0084,0.044,0.016,0,0.056
R5 H5 BHB5/2,bhb,42000,42,20000,70000,0.73,4.9,430,560,3.2,43,1700,12,0.71,5.8,30,23,830,0.058,1.2,0.26,9.7,540,0.1,0.11,0.017,0.053,0.049,0.05,0.068,0.01,0.03,0.0078,0.017,0.011,0.027,0.009,0,0.04
